,Posted Date,Effective Date,Transaction Description,Transaction Code Description,Check Number,Debit Amount,Credit Amount
169,22 Jun 2020,22 Jun 2020,C/A ATM/TB TRANSFER CR,c2e30bcfe2e9b7b67d35366188b47c38,660276,0.0,665.0
170,22 Jun 2020,22 Jun 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,557106,841.0,0.0
171,18 Jun 2020,18 Jun 2020,C/A ATM/TB BILL PAYMENT DT,c8e66a9002563d4cd820d2a5bbf2a94a,399761,1257.88,0.0
172,18 Jun 2020,18 Jun 2020,C/A ATM/TB TRANSFER CR,eecc2f150e2b83a0ac786a321bab6569,357579,0.0,1257.88
173,16 Jun 2020,16 Jun 2020,C/A ATM/TB BILL PAYMENT DT,cb3138ba5db93e4564c599b54cc82def,214038,30.0,0.0
174,15 Jun 2020,15 Jun 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,838401,0.0,65.0
175,10 Jun 2020,10 Jun 2020,C/A ATM/TB TRANSFER CR,90e25ba3c9874188e9a304e93af10c55,614590,0.0,2500.0
176,1 Jun 2020,1 Jun 2020,C/A ATM/TB TRANSFER CR,4bedcfd276d9b9eb23a3320b0ef78f32,664798,0.0,665.0
177,1 Jun 2020,1 Jun 2020,CREDIT MEMO,d17c1f839de3a552e605f41890f7ed21,202681,0.0,100.0
178,29 May 2020,31 May 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
179,29 May 2020,29 May 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,553873,3149.0,0.0
180,28 May 2020,28 May 2020,C/A ATM/TB BILL PAYMENT DT,c5e8b9e1ab1f7753a2e71b07fe2c8560,8450895,4.11,0.0
181,28 May 2020,28 May 2020,C/A ATM/TB TRANSFER CR,239e1ed565f6309ecc2063f46333eac8,420447,0.0,460.0
182,28 May 2020,28 May 2020,CUSTOMER DEPOSIT,1a0d2581444def574d4603a3bdcf6f04,1111111,0.0,2290.0
183,28 May 2020,28 May 2020,CUSTOMER DEPOSIT,4bdacfc37d9ca881754245b91a0474f9,1111111,0.0,1454.0
184,28 May 2020,28 May 2020,C/A ATM/TB TRANSFER CR,c63ace12626cd496159f2c2a4a51325f,378911,0.0,1000.0
185,27 May 2020,27 May 2020,C/A ATM/TB BILL PAYMENT DT,bc9ff872d2ed565732607c392b996a97,235336,2985.32,0.0
186,27 May 2020,27 May 2020,C/A ATM/TB BILL PAYMENT DT,36a13bd1f2f071a8946b1040da73dda7,235315,2542.28,0.0
187,26 May 2020,26 May 2020,CUSTOMER DEPOSIT,74553ae1c3b47f329822cf1358662622,838405,0.0,165.0
188,22 May 2020,22 May 2020,CREDIT NOTE,8cb7554d2d9ff29828f35c1999915633,772355,0.0,1977.15
189,19 May 2020,19 May 2020,C/A ATM/TB TRANSFER CR,dc966ca4faed3430f9a04566874b6f0a,637126,0.0,335.0
190,19 May 2020,19 May 2020,CREDIT MEMO,d17c1f839de3a552e605f41890f7ed21,181910,0.0,100.0
191,19 May 2020,19 May 2020,C/A ATM/TB BILL PAYMENT DT,114c2c354486335728beef7b723a4284,609228,30.0,0.0
192,18 May 2020,18 May 2020,CREDIT MEMO,0697aae150babeca5e638358d272fd44,180827,0.0,50.0
193,18 May 2020,18 May 2020,DEBIT NOTE,c287831b704352c201ec55eb307b5ebb, ,26.54,0.0
194,18 May 2020,18 May 2020,DEBIT NOTE,4a0a6454414c1309978277f33d43e06d, ,14.16,0.0
195,18 May 2020,18 May 2020,DEBIT NOTE,189dc809f89d1300095b193f1e9e6162,180332,5035.34,0.0
196,18 May 2020,18 May 2020,C/A ATM/TB TRANSFER CR,0a2cdb1aabd2d6a46ab03e2085ce0cb2,510923,0.0,8000.0
